2023-03-08 17:37:50 status half-installed libpcre2-8-0:amd64 10.39-3build1
2023-03-08 17:37:50 status unpacked libpcre2-8-0:amd64 10.39-3build1
2023-03-08 17:37:50 install libpcre3:amd64 <none> 2:8.39-13build5
2023-03-08 17:37:50 status half-installed libpcre3:amd64 2:8.39-13build5
2023-03-08 17:37:50 status unpacked libpcre3:amd64 2:8.39-13build5
2023-03-08 17:37:50 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2023-03-08 17:37:50 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2023-03-08 17:37:50 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
2023-03-08 17:37:50 install libselinux1:amd64 <none> 3.3-1build2
2023-03-08 17:37:50 status half-installed libselinux1:amd64 3.3-1build2
2023-03-08 17:37:50 status unpacked libselinux1:amd64 3.3-1build2
2023-03-08 17:37:50 install libsemanage-common:all <none> 3.3-1build2
2023-03-08 17:37:50 status half-installed libsemanage-common:all 3.3-1build2
2023-03-08 17:37:50 status unpacked libsemanage-common:all 3.3-1build2
2023-03-08 17:37:50 install libsemanage2:amd64 <none> 3.3-1build2
2023-03-08 17:37:50 status half-installed libsemanage2:amd64 3.3-1build2
2023-03-08 17:37:50 status unpacked libsemanage2:amd64 3.3-1build2
2023-03-08 17:37:50 install libsepol2:amd64 <none> 3.3-1build1
2023-03-08 17:37:50 status half-installed libsepol2:amd64 3.3-1build1
2023-03-08 17:37:50 status unpacked libsepol2:amd64 3.3-1build1
2023-03-08 17:37:50 install libsmartcols1:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:50 status half-installed libsmartcols1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:50 status unpacked libsmartcols1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:50 install libss2:amd64 <none> 1.46.5-2ubuntu1
2023-03-08 17:37:50 status half-installed libss2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:50 status unpacked libss2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:50 install libssl3:amd64 <none> 3.0.2-0ubuntu1
2023-03-08 17:37:50 status half-installed libssl3:amd64 3.0.2-0ubuntu1
2023-03-08 17:37:50 status unpacked libssl3:amd64 3.0.2-0ubuntu1
2023-03-08 17:37:51 install libsystemd0:amd64 <none> 249.11-0ubuntu3
2023-03-08 17:37:51 status half-installed libsystemd0:amd64 249.11-0ubuntu3
2023-03-08 17:37:51 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2023-03-08 17:37:51 install libtinfo6:amd64 <none> 6.3-2
2023-03-08 17:37:51 status half-installed libtinfo6:amd64 6.3-2
2023-03-08 17:37:51 status unpacked libtinfo6:amd64 6.3-2
2023-03-08 17:37:51 install libtirpc-common:all <none> 1.3.2-2build1
2023-03-08 17:37:51 status half-installed libtirpc-common:all 1.3.2-2build1
2023-03-08 17:37:51 status unpacked libtirpc-common:all 1.3.2-2build1
2023-03-08 17:37:51 install libtirpc3:amd64 <none> 1.3.2-2build1
2023-03-08 17:37:51 status half-installed libtirpc3:amd64 1.3.2-2build1
2023-03-08 17:37:51 status unpacked libtirpc3:amd64 1.3.2-2build1
2023-03-08 17:37:51 install libudev1:amd64 <none> 249.11-0ubuntu3
2023-03-08 17:37:51 status half-installed libudev1:amd64 249.11-0ubuntu3
2023-03-08 17:37:51 status unpacked libudev1:amd64 249.11-0ubuntu3
2023-03-08 17:37:51 install libuuid1:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:51 status half-installed libuuid1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:51 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:51 install libzstd1:amd64 <none> 1.4.8+dfsg-3build1
2023-03-08 17:37:51 status half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2023-03-08 17:37:51 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2023-03-08 17:37:51 install login:amd64 <none> 1:4.8.1-2ubuntu2
2023-03-08 17:37:51 status half-installed login:amd64 1:4.8.1-2ubuntu2
2023-03-08 17:37:51 status unpacked login:amd64 1:4.8.1-2ubuntu2
2023-03-08 17:37:51 install logsave:amd64 <none> 1.46.5-2ubuntu1
2023-03-08 17:37:51 status half-installed logsave:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:51 status unpacked logsave:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:51 install lsb-base:all <none> 11.1.0ubuntu4
2023-03-08 17:37:51 status half-installed lsb-base:all 11.1.0ubuntu4
2023-03-08 17:37:51 status unpacked lsb-base:all 11.1.0ubuntu4
2023-03-08 17:37:51 upgrade mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2023-03-08 17:37:51 status half-configured mawk:amd64 1.3.4.20200120-3
2023-03-08 17:37:51 status unpacked mawk:amd64 1.3.4.20200120-3
2023-03-08 17:37:51 status half-installed mawk:amd64 1.3.4.20200120-3
2023-03-08 17:37:51 status unpacked mawk:amd64 1.3.4.20200120-3
2023-03-08 17:37:52 install mount:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:52 status half-installed mount:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:52 status unpacked mount:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:52 install ncurses-base:all <none> 6.3-2
2023-03-08 17:37:52 status half-installed ncurses-base:all 6.3-2
2023-03-08 17:37:52 status unpacked ncurses-base:all 6.3-2
2023-03-08 17:37:52 install ncurses-bin:amd64 <none> 6.3-2
2023-03-08 17:37:52 status half-installed ncurses-bin:amd64 6.3-2
2023-03-08 17:37:52 status unpacked ncurses-bin:amd64 6.3-2
2023-03-08 17:37:52 install passwd:amd64 <none> 1:4.8.1-2ubuntu2
2023-03-08 17:37:52 status half-installed passwd:amd64 1:4.8.1-2ubuntu2
2023-03-08 17:37:52 status unpacked passwd:amd64 1:4.8.1-2ubuntu2
2023-03-08 17:37:52 upgrade perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-03-08 17:37:52 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2023-03-08 17:37:52 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-03-08 17:37:52 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2023-03-08 17:37:52 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2023-03-08 17:37:52 install procps:amd64 <none> 2:3.3.17-6ubuntu2
2023-03-08 17:37:52 status half-installed procps:amd64 2:3.3.17-6ubuntu2
2023-03-08 17:37:53 status unpacked procps:amd64 2:3.3.17-6ubuntu2
2023-03-08 17:37:53 install sed:amd64 <none> 4.8-1ubuntu2
2023-03-08 17:37:53 status half-installed sed:amd64 4.8-1ubuntu2
2023-03-08 17:37:53 status unpacked sed:amd64 4.8-1ubuntu2
2023-03-08 17:37:53 install sensible-utils:all <none> 0.0.17
2023-03-08 17:37:53 status half-installed sensible-utils:all 0.0.17
2023-03-08 17:37:53 status unpacked sensible-utils:all 0.0.17
2023-03-08 17:37:53 install sysvinit-utils:amd64 <none> 3.01-1ubuntu1
2023-03-08 17:37:53 status half-installed sysvinit-utils:amd64 3.01-1ubuntu1
2023-03-08 17:37:53 status unpacked sysvinit-utils:amd64 3.01-1ubuntu1
2023-03-08 17:37:53 install tar:amd64 <none> 1.34+dfsg-1build3
2023-03-08 17:37:53 status half-installed tar:amd64 1.34+dfsg-1build3
2023-03-08 17:37:53 status unpacked tar:amd64 1.34+dfsg-1build3
2023-03-08 17:37:53 install usrmerge:all <none> 25ubuntu2
2023-03-08 17:37:53 status half-installed usrmerge:all 25ubuntu2
2023-03-08 17:37:53 status unpacked usrmerge:all 25ubuntu2
2023-03-08 17:37:53 install util-linux:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:53 status half-installed util-linux:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:53 status unpacked util-linux:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:53 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-03-08 17:37:53 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-03-08 17:37:53 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu9
2023-03-08 17:37:53 startup packages configure
2023-03-08 17:37:53 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-03-08 17:37:53 status unpacked lsb-base:all 11.1.0ubuntu4
2023-03-08 17:37:53 status half-configured lsb-base:all 11.1.0ubuntu4
2023-03-08 17:37:53 status installed lsb-base:all 11.1.0ubuntu4
2023-03-08 17:37:53 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-03-08 17:37:53 status unpacked libtirpc-common:all 1.3.2-2build1
2023-03-08 17:37:53 status half-configured libtirpc-common:all 1.3.2-2build1
2023-03-08 17:37:53 status installed libtirpc-common:all 1.3.2-2build1
2023-03-08 17:37:53 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-03-08 17:37:53 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-03-08 17:37:53 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-03-08 17:37:53 status installed libaudit-common:all 1:3.0.7-1build1
2023-03-08 17:37:53 configure libsemanage-common:all 3.3-1build2 <none>
2023-03-08 17:37:53 status unpacked libsemanage-common:all 3.3-1build2
2023-03-08 17:37:53 status half-configured libsemanage-common:all 3.3-1build2
2023-03-08 17:37:53 status installed libsemanage-common:all 3.3-1build2
2023-03-08 17:37:53 configure gcc-12-base:amd64 12-20220319-1ubuntu1 <none>
2023-03-08 17:37:53 status unpacked gcc-12-base:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:53 status half-configured gcc-12-base:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:53 status installed gcc-12-base:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:53 configure ncurses-base:all 6.3-2 <none>
2023-03-08 17:37:53 status unpacked ncurses-base:all 6.3-2
2023-03-08 17:37:54 status half-configured ncurses-base:all 6.3-2
2023-03-08 17:37:54 status installed ncurses-base:all 6.3-2
2023-03-08 17:37:54 configure sensible-utils:all 0.0.17 <none>
2023-03-08 17:37:54 status unpacked sensible-utils:all 0.0.17
2023-03-08 17:37:54 status half-configured sensible-utils:all 0.0.17
2023-03-08 17:37:54 status installed sensible-utils:all 0.0.17
2023-03-08 17:37:54 configure libcrypt1:amd64 1:4.4.27-1 <none>
2023-03-08 17:37:54 status unpacked libcrypt1:amd64 1:4.4.27-1
2023-03-08 17:37:54 status half-configured libcrypt1:amd64 1:4.4.27-1
2023-03-08 17:37:54 status installed libcrypt1:amd64 1:4.4.27-1
2023-03-08 17:37:54 configure libgcc-s1:amd64 12-20220319-1ubuntu1 <none>
2023-03-08 17:37:54 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:54 status half-configured libgcc-s1:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:54 status installed libgcc-s1:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:54 configure libc6:amd64 2.35-0ubuntu3 <none>
